"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-1-19","86.16","84.34","86.85","83.76","250.96K","1.39%"
"2023-1-18","84.98","86.45","87.85","84.36","288.15K","-1.09%"
"2023-1-17","85.92","84.20","86.82","84.04","238.30K","1.73%"
"2023-1-16","84.46","85.36","85.59","83.83","125.96K","-0.96%"
"2023-1-13","85.28","83.91","85.50","83.50","217.40K","1.49%"
"2023-1-12","84.03","82.88","84.62","82.37","264.07K","1.65%"
"2023-1-11","82.67","79.52","83.00","79.31","273.79K","3.21%"
"2023-1-10","80.10","79.54","80.89","78.81","244.35K","0.56%"
"2023-1-9","79.65","78.42","81.37","78.42","245.12K","1.37%"
"2023-1-6","78.57","78.80","80.59","78.05","215.42K","-0.15%"
"2023-1-5","78.69","78.16","79.97","77.61","259.58K","1.09%"
"2023-1-4","77.84","82.31","82.72","77.72","319.31K","-5.19%"
"2023-1-3","82.10","85.96","87.00","81.78","302.86K","-4.43%"
"2022-12-30","85.91","83.71","86.00","82.88","168.65K","4.44%"
"2022-12-29","82.26","82.88","83.14","81.28","10.99K","-1.20%"
"2022-12-28","83.26","84.60","84.76","81.92","57.56K","-1.68%"
"2022-12-27","84.68","85.00","86.10","84.19","160.09K","0.21%"
"2022-12-23","84.50","82.32","84.70","81.83","180.40K","3.47%"
"2022-12-22","81.67","82.93","84.21","81.35","211.18K","-1.10%"
"2022-12-21","82.58","80.53","82.92","80.06","178.09K","2.55%"
"2022-12-20","80.53","80.60","81.19","79.00","184.12K","0.49%"
"2022-12-19","80.14","79.49","81.19","79.02","164.92K","0.82%"
"2022-12-16","79.49","81.44","81.87","78.76","236.09K","-2.25%"
"2022-12-15","81.32","82.84","83.18","80.92","162.08K","-1.73%"
"2022-12-14","82.75","80.53","83.22","80.31","178.26K","2.34%"
"2022-12-13","80.86","78.53","81.34","78.41","201.46K","3.22%"
"2022-12-12","78.34","77.34","78.89","75.67","158.37K","2.27%"
"2022-12-9","76.60","77.15","77.81","75.64","157.00K","0.01%"
"2022-12-8","76.59","77.90","79.49","76.19","209.68K","-1.29%"
"2022-12-7","77.59","80.07","80.79","77.32","207.04K","-2.61%"
"2022-12-6","79.67","83.19","83.69","79.05","225.87K","-3.62%"
"2022-12-5","82.66","85.70","88.20","82.53","193.04K","-3.38%"
"2022-12-2","85.55","86.69","87.68","85.17","141.36K","-1.53%"
"2022-12-1","86.88","86.78","89.37","86.26","229.13K","1.70%"
"2022-11-30","85.43","83.77","85.67","83.61","9.05K","2.89%"
"2022-11-29","83.03","82.41","86.00","82.39","67.93K","-0.19%"
"2022-11-28","83.19","83.58","84.10","80.61","102.56K","-0.53%"
"2022-11-25","83.63","85.50","86.87","83.59","85.31K","-2.00%"
"2022-11-24","85.34","85.04","85.54","83.90","75.61K","-0.08%"
"2022-11-23","85.41","88.47","89.56","84.12","212.14K","-3.34%"
"2022-11-22","88.36","87.76","89.90","87.35","190.85K","1.04%"
"2022-11-21","87.45","87.74","87.98","82.31","354.60K","-0.19%"
"2022-11-18","87.62","90.10","90.63","85.80","379.66K","-2.41%"
"2022-11-17","89.78","92.73","92.91","89.53","313.53K","-3.32%"
"2022-11-16","92.86","94.11","94.79","91.67","257.62K","-1.07%"
"2022-11-15","93.86","92.59","95.77","91.53","317.50K","0.77%"
"2022-11-14","93.14","95.87","96.95","92.50","248.25K","-2.97%"
"2022-11-11","95.99","93.84","96.92","93.69","238.07K","2.48%"
"2022-11-10","93.67","92.53","94.32","91.73","278.53K","1.10%"
"2022-11-9","92.65","95.17","95.65","92.33","308.02K","-2.84%"
"2022-11-8","95.36","98.24","98.30","95.00","251.67K","-2.61%"
